coin,market_class,underlying,period,target_price,market_name,trades,traders,volume,avg_px
#2620,,,,0,,331,38,18168.83777,0.7931326586102718
#670,priceBucket,BTC,1d,0,Recurring Named Outcome,624,41,18156.93836085,0.20158497269230768
#7451,,,,0,,304,20,18155.29747,0.6599797368421052
#990,priceBucket,BTC,1d,0,Recurring Named Outcome,1191,40,18018.36733085,0.15533260487825357
#1951,named,,,0,Ivory Coast,50,10,17990.41639,0.9554107999999999
#6630,,,,0,,120,20,17977.82357318,0.7925574441666666
#2280,,,,0,Outcome 228,350,50,17666.38393354,0.5679507328857143
#8601,,,,0,,296,25,17598.00989,0.3658571283783784
#6601,,,,0,,409,20,17474.17773,0.30385163814180927
#1511,priceBucket,BTC,1d,0,Recurring Named Outcome,457,29,17392.89805,0.6588319912472649
#7640,,,,0,,237,19,17375.52817,0.6265458649789029
#8641,,,,0,,173,10,17186.93182,0.7236863005780347
#7181,,,,0,,244,11,17115.73351,0.9543448360655737
#1791,named,,,0,Canada,55,8,17112.59341,0.9167658181818181
#3341,,,,0,,231,15,17067.90451,0.7886263203463204
#7200,,,,0,,110,11,17065.3712875,0.5150915150909091
#1060,priceBucket,BTC,1d,0,Recurring Fallback,814,7,17056.4998875,0.29412366735872236
#8600,,,,0,,297,29,17008.40466,0.650390404040404
#3271,,,,0,,266,15,17000.09352,0.4129201879699248
#7811,,,,0,,235,23,16903.29974,0.6676115319148936
#8080,,,,0,,473,28,16876.26052,0.6315688583509514
#7430,,,,0,,184,28,16730.01371,0.6383102173913043
#4271,,,,0,,264,17,16532.23222,0.5668562121212121
#1630,priceBucket,BTC,1d,0,Recurring Named Outcome,812,30,16350.07315208,0.1969492850369458
#540,priceBucket,BTC,1d,0,Recurring Named Outcome,1574,24,16335.25962222,0.07679432391994917
#4741,,,,0,,277,19,16332.39442,0.4597238989169675
#7721,,,,0,,314,19,16312.50662,0.5287531847133758
#1911,named,,,0,Ghana,1331,9,16304.02215,0.9968931179564238
#2711,,,,0,,192,17,16260.0122,0.3658079166666666
#510,priceBucket,BTC,1d,0,Recurring Fallback,483,6,16224.41655902,0.31262939708074533
#1191,priceBucket,BTC,1d,0,Recurring Named Outcome,463,35,16156.23803,0.2575903455723542
#4991,,,,0,,180,21,16119.06797,0.6639124444444444
#4661,,,,0,,372,16,16117.36645,0.4051305376344086
#4311,,,,0,,195,18,16107.37419,0.43521769230769236
#8801,,,,0,,93,6,16081.09859,0.9704822580645162
#7900,,,,0,,262,27,15991.44142,0.5029304580152671
#7650,,,,0,,486,40,15772.77121,0.5839617283950618
#4230,,,,0,,215,29,15732.25239926,0.5695182167441861
#2911,,,,0,,87,11,15723.49951,0.6976247126436782
#1200,priceBucket,BTC,1d,0,Recurring Named Outcome,719,38,15680.22677839,0.15747831186369957
#9460,,,,0,,135,20,15561.17185,0.6875868148148148
#6880,,,,0,,250,35,15538.58223656,0.7443618266400001
#4710,,,,0,,194,30,15414.59178301,0.6911836251030928
#6831,,,,0,,463,16,15292.50962,0.48794887688984884
#3631,,,,0,,123,24,15284.70493,0.7271860162601625
#4300,,,,0,,223,33,15249.95525894,0.3940712552466368
#7901,,,,0,,268,15,15241.46907,0.49882007462686573
#2041,named,,,0,Paraguay,13,3,15047.52029,0.8451746153846155
#4120,,,,0,,218,58,15041.90544,0.7741884862385321
#6671,,,,0,,211,15,15039.50225,0.5619041706161138
#870,priceBucket,BTC,1d,0,Recurring Named Outcome,1070,30,15035.55306185,0.17543393741121496
#9110,,,,0,,93,24,15018.77454461,0.8027814334408602
#2501,named,,,0,South Africa,96,30,15014.94856,0.8417934374999999
#4100,,,,0,,162,24,14980.70853,0.7655443827160494
#7061,,,,0,,317,20,14968.13486,0.5661243217665615
#9740,,,,0,,75,16,14937.85046,0.6183157333333333
#8630,,,,0,,194,24,14905.3185666,0.7647866666494845
#8421,,,,0,,226,32,14869.55934,0.628176017699115
#3831,,,,0,,133,19,14832.58448,0.7491763909774436
#7361,,,,0,,183,11,14823.10244,0.7989843715846994
#1220,priceBucket,BTC,1d,0,Recurring Fallback,308,6,14807.83323297,0.313582248538961
#7310,,,,0,,189,21,14757.11164,0.7230499470899471
#8371,,,,0,,205,8,14713.50316,0.7851139024390245
#6680,,,,0,,339,27,14709.89046,0.2910743657817109
#1180,priceBucket,BTC,1d,0,Recurring Named Outcome,822,26,14656.42304268,0.13165236779805353
#5161,,,,0,,112,31,14648.36508,0.8461905357142857
#7711,,,,0,,225,15,14576.23175,0.5306417333333333
#690,priceBucket,BTC,1d,0,Recurring Named Outcome,869,33,14554.77887293,0.105283463141542
#8660,,,,0,,295,16,14481.69973,0.6046456271186441
#1280,priceBucket,BTC,1d,0,Recurring Named Outcome,384,26,14475.74970461,0.12948289002604166
#5681,,,,0,,446,13,14435.46831,0.9814041928251122
#2831,,,,0,,73,19,14345.67122,0.7711134246575343
#1330,priceBucket,BTC,1d,0,Recurring Named Outcome,737,35,14328.72569842,0.18891443660786975
#3521,,,,0,,57,16,14317.42189,0.8701405263157895
#1580,,,,0,Outcome 158,1757,30,14294.17458478,0.13595648589072282
